country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Finland,65100,67700,71500,75100,79400,81500,84400,86500,87300,90900,91600,92700,94700,98600,98600,101000,104000,103000,97400,101000,102000,101000,101000,101000,101000,102000,105000,107000,109000,111000,112000,114000
France,81600,83300,83500,86400,86900,87500,89700,91700,93600,94700,94800,94900,93600,96300,96600,98400,99100,97900,96000,97600,99600,99600,100000,102000,103000,103000,105000,106000,108000,109000,111000,112000
Gabon,50800,47800,48700,49200,50400,50800,52400,52600,46100,43900,43600,42000,41500,40300,40200,37400,38400,35600,34200,35500,36400,36500,36900,36800,36700,36400,35600,35400,35600,35900,36500,37100
Gambia,1830,1840,1850,1790,1760,1750,1780,1790,1850,1880,1930,1800,1870,1930,1840,1800,1810,1850,1900,1950,1800,1840,1870,1820,1850,1820,1830,1860,1890,1920,1940,1950
Georgia,5520,3040,2180,1990,2120,2480,2800,2910,3000,3070,3120,3470,3740,4100,4580,5020,5650,6040,5890,6180,6520,6920,7290,7500,7670,8010,8400,8800,9170,9590,10000,10500
Germany,71600,74200,75000,77100,78200,79400,81300,82800,83200,85000,86200,86700,86900,89000,88500,90200,91000,90900,85800,88400,89500,89300,88800,89500,90600,91200,92700,94600,96200,97500,98700,99700
Ghana,2080,2100,2150,2170,2200,2260,2310,2370,2460,2490,2480,2480,2500,2520,2560,2600,2640,2810,2870,3010,3310,3480,3570,3620,3670,3710,3920,4100,4260,4390,4520,4650
Greece,52900,51800,50600,50200,50100,50600,52400,53700,55000,56400,59000,60300,62800,65500,65700,68000,69600,68700,66400,64700,63300,64300,65300,65400,63900,62800,62400,63600,64500,66000,67900,70100
Guatemala,6650,6780,6860,6950,7080,7100,7190,7320,7370,7390,7320,7520,7500,7480,7220,7130,7500,7640,7580,7720,7940,7270,7960,7930,8050,8000,8050,8160,8270,8390,8510,8630
Guinea,1140,1120,1110,1090,1100,1110,1140,1160,1190,1190,1220,1260,1250,1250,1260,1270,1260,1300,1260,1260,1280,1300,1290,1270,1230,1270,1310,1360,1420,1480,1510,1540
Guinea-Bissau,1710,1680,1680,1690,1730,1890,1990,1400,1390,1440,1440,1390,1360,1370,1390,1380,1390,1390,1400,1420,1510,1440,1410,1400,1430,1470,1490,1510,1530,1560,1580,1610
Guyana,4650,4930,5280,5730,6100,6550,7030,7110,7280,7350,7500,7680,7660,7870,7800,7940,8350,8540,8700,8970,9280,9580,9890,10100,10300,10500,10800,11100,11400,12200,13100,14000
